,Rest_id,name,rate,phone,location,rest_type,reviews_list,Mean Rating,Ro Rating,scaled_sentiment,final_score
2835,2835,Box8- Desi Meals,4.3,022 33552698,Old Airport Road,"Takeaway, Delivery","[('Rated 4.0', ""RATED\n  Very innovative start up I must say, I was fan of them in Pune and that is to be continued here as well. Everything looks good and perfectly packed to be had. The only point I can see is the price of the product, if they are ready to cover it up, it's gonna be one of the most promising place here.""), ('Rated 4.0', 'RATED\n  Ordered Dal makhani combo - very well packer. Quantity is sufficient for a person. Paratha had multiple layers and sweet was melting in mouth. Dal makhani was out of the world! Irrespective of 31st eve delivery order, these guys sent correct order on time. Will surely try their another combos!!'), ('Rated 2.0', ""RATED\n  Taste is good but quantity is too less.\nPacking is excellent. I order the chickenwith parotha combo ordering they mention the parotha but they didn't mentioned quantity (pieaces). They gave 2 parotha only."")]",4.13,"{'roberta_neg': 0.0076603587, 'roberta_neu': 0.07643507, 'roberta_pos': 0.9159046}",5.0,4.77
1218,1218,Le Cirque Signature - The Leela Palace,4.3,"080 30571234
080 30571540",Old Airport Road,Fine Dining,"[('Rated 5.0', 'RATED\n  Awesome would be an understatement for this place. Where art meets cuisine and creates a 7* experience - is at Le Cirque.\n\nWe went on my last birthday, we tried lobster and corn bisque, ricotta gnocchi, grilled king prawns and honey lavender duck. We ordered tiramisu for dessert. The food, the aroma, the flavour, the presentation - everything was spot on! Lobster bisque was so rich in flavour! We loved it and we have spread the word of mouth within our network - recommending this as an authentic french Italian cuisine place to visit in Bangalore.'), ('Rated 5.0', 'RATED\n  How can you possibly give this place anything less than 5 stars? The entire experience was amazing. From the decor, to the service and the food.\n\nWe ordered the scallops, black truffle risotto, chicken, creme brulee and mousse formaggia. Every single thing was immaculately made. This is gonna be a regular date spot from now on.')]",4.23,"{'roberta_neg': 0.0021012838, 'roberta_neu': 0.011032927, 'roberta_pos': 0.9868658}",5.0,4.77
2349,2349,Berry'D Alive,4.3,"+91 8884411167
+91 9620969017",Koramangala 5th Block,Dessert Parlor,"[('Rated 4.0', 'RATED\n  Have always been a fan of this place.. my favourite is the double decker brownie ??.. itÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s just juicy and the rich chocolate ? would just melt in you mouth.. must try.. recommended.. they have renovated the Koromangala outlet.. so ambiance looks pretty cool ??'), ('Rated 4.0', ""RATED\n  The last time we succumbed to our temptations was when we dropped by Berry'd Alive for their famed cheesecakes.\n\nThe Baked Cheesecake with Salted Caramel, however, did not live up to our expectations. The cheesecake was dense and the caramel sauce had thickened. 3/5\n\nThe Lychee Pavalova however redeemed our visit. The meringue was crisp, crumbly and porous, perfectly complimented by the fresh lychee cream. 4.5/5\n\nThe new place is bright and young with its berry purple hues. The outdoor seating is perfect for friendly banter over desserts.""), ('Rated 5.0', 'RATED\n  Ordered lychee Pavlova and Nutella hot chocolate. Loved the Pavlova so much , ended up ordering other one.\nWith the renovated place, they have added a lot of other items as well in their menu.'), ('Rated 4.0', 'RATED\n  I visited them many times. Always end up eating Bluieberry cheesecake and Lychee Pavlova. Probably one of the best cheese cake in bangalore. Nice to sit outside in the evening. Recommended.')]",4.23,"{'roberta_neg': 0.0060191676, 'roberta_neu': 0.05410805, 'roberta_pos': 0.9398728}",5.0,4.77
3324,3324,Alto Vino - Bengaluru Marriott Hotel Whitefield,4.3,"080 49435000
+91 8884477218",Whitefield,Fine Dining,"[('Rated 4.0', ""RATED\n  Went for a buffet here. The variety was good. However, didn't like the food much. Desserts we're amazing. Ambience was aristocratic. Good experience overall.\n\nFood-3/5\nService-4/5\nAmbience-4/5""), ('Rated 5.0', 'RATED\n  Visited here for Thanksgiving, very innovative and tastey food .Visited here for Thanksgiving, very innovative and tastey food.Visited here for Thanksgiving, very innovative and tastey food')]",4.23,"{'roberta_neg': 0.011990533, 'roberta_neu': 0.07528916, 'roberta_pos': 0.9127203}",5.0,4.77
2282,2282,Occasions,4.3,"080 48909425
+91 9322728728",Koramangala 4th Block,Bakery,"[('Rated 5.0', ""RATED\n  This place has the best cakes! They're soft and fresh and really amazing. I would highly recommend the pineapple cake if you're a fruit person-it's perfect! ??""), ('Rated 3.5', ""RATED\n  AMBIENCE: 0/5\nWouldn't rate this place on ambience as it is just a small bakery and cake shop serving cookies, muffins, cakes and bakery products. Its still well designed, clean and bright.\n\nFOOD: 4/5\nWe got my birthday cake from here. They have a lot of options to choose from and you can either opt from the shelf or get one custom made. The cakes are decently priced and they even have happy hours in the evening where you can get a sizeable discount on your purchase. I was unaware of this, however got to know when the bill was paid.\n\nSERVICE: 5/5\nThe person taking the orders is really friendly and can even help you choose the right cake for the occasion. Keep it up!\n\nVALUE FOR MONEY: 4/5\nThe cakes are value for money and don't disappoint. They're made fresh and once you dig in, you'd want to gobble it all.""), ('Rated 5.0', 'RATED\n  After looking for some bakeries I opted for Occasions and I am glad I did so. The Owner was courteous and guided me well to get to the selection and finally ordered Belgium\'s Delight, which was dense, richly moist and intensely chocolate flavored, yet not heavy or if so to put in a word was ""scrumptious"".\n\nThe bakery has a wide variety to choose from and is worth every penny you spend.\n\nI\'d happily recommend it to others without a second thought.')]",4.23,"{'roberta_neg': 0.0033510923, 'roberta_neu': 0.037856456, 'roberta_pos': 0.9587924}",5.0,4.77
2642,2642,Dum Pukht Jolly Nabobs - Itc Windsor,4.3,080 61402610,Sankey Road,Fine Dining,"[('Rated 5.0', 'RATED\n  A delightful experience. Melt in the mouth kakori kebab and sweetish dudhiya kabab is what we started with. The local cabarnet sauvignon was surprisingly tasty. The best is of course the dumpukht mutton biriyani. Its done to perfection in lukhnowi style (or so I think).\nThe sweet dishes were good but compared to the rest were so so.'), ('Rated 3.0', 'RATED\n  Unlike royal afghan, the food here is just okay. Nothing out of the world which would want me to come back again. Although as a lover of itc chain i was never disappointed by their food, but this one is just average.\n\nAmbience - 4/5\nService - 5/5\nFood - 2.5/5'), ('Rated 5.0', 'RATED\n  The non veg dinner set menu is pretty awesome . Top it up with excellent service.. must do if you are craving good North Indian/mughlai in bengaluru')]",4.23,"{'roberta_neg': 0.011842545, 'roberta_neu': 0.06122353, 'roberta_pos': 0.9269339}",5.0,4.77
2110,2110,Berry'D Alive,4.3,"+91 8884411167
+91 9620969017",Koramangala 5th Block,Dessert Parlor,"[('Rated 4.0', 'RATED\n  Have always been a fan of this place.. my favourite is the double decker brownie ??.. itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s just juicy and the rich chocolate ? would just melt in you mouth.. must try.. recommended.. they have renovated the Koromangala outlet.. so ambiance looks pretty cool ??'), ('Rated 4.0', ""RATED\n  The last time we succumbed to our temptations was when we dropped by Berry'd Alive for their famed cheesecakes.\n\nThe Baked Cheesecake with Salted Caramel, however, did not live up to our expectations. The cheesecake was dense and the caramel sauce had thickened. 3/5\n\nThe Lychee Pavalova however redeemed our visit. The meringue was crisp, crumbly and porous, perfectly complimented by the fresh lychee cream. 4.5/5\n\nThe new place is bright and young with its berry purple hues. The outdoor seating is perfect for friendly banter over desserts.""), ('Rated 5.0', 'RATED\n  Ordered lychee Pavlova and Nutella hot chocolate. Loved the Pavlova so much , ended up ordering other one.\nWith the renovated place, they have added a lot of other items as well in their menu.'), ('Rated 4.0', 'RATED\n  I visited them many times. Always end up eating Bluieberry cheesecake and Lychee Pavlova. Probably one of the best cheese cake in bangalore. Nice to sit outside in the evening. Recommended.')]",4.23,"{'roberta_neg': 0.0041203266, 'roberta_neu': 0.041381363, 'roberta_pos': 0.9544983}",5.0,4.77
539,539,Jose'S Mess,4.3,080 26840905,BTM,Mess,"[('Rated 4.0', ""RATED\n  Finger licking experience!\nMy friend took me here last month and I had literally no idea about the place before I came.\nBut when I tried Kerala Porotta and some Beef roast, I was literally blown away...!\nIt's so delicious with an authentic Kerala style.\n\nLoved it!""), ('Rated 5.0', 'RATED\n  Been eating here since the last 15 years . ... Awesome food... Specially the fish gravy with the meals ..the beef and the chicken dishes are pretty good .. the customer service is also pretty good... Try Partha and beef roast...'), ('Rated 4.0', ""RATED\n  Always a fan of this place. Josettan's mess, as it was called, was my go to place for authentic Kerala food. Have tried their masala dosa, ghee roast, and puttu kadala for breakfast. For lunch and dinner, have had their beef roast, chicken roast, chicken biriyani and veg biriyani. Absolutely love their food. A small place which is always buzzing with people.""), ('Rated 5.0', 'RATED\n  Awesome food, friendly and courteous hosts and a nice ambience. We had a good loaded breakfast. Wife loved the typical Chaaiaa. Totally in my fav list and highly recommend this place for the taste, hospitality and an awesome treat ???.\n\nLooking forth for a good lunch sometimes.')]",4.29,"{'roberta_neg': 0.0017050083, 'roberta_neu': 0.007584986, 'roberta_pos': 0.99071}",5.0,4.77
3320,3320,Uppercut - Sheraton Grand Bengaluru Whitefield Hotel...,4.3,"+91 9513982019
+91 7259806910",Whitefield,Casual Dining,"[('Rated 5.0', 'RATED\n  Once again had same amazing experience with food, service, staff courtesy, and royal treatment.\n\nKingpin and highlander drinks were good as usual.\n\nI would like to mention three standout dishes\nMushroom dish was amazing and it is must try.\nWalnut salad is again amazing dish.\nSoya champs (in simple words Soya Chop) with Indian preparation is very very tasty.\nNow about the service - upper cut staff is amazing and they make you feel like you are from some royal family.\n\nSpecial Thanks to Naveen and Umesh for making our night memorable as we were celebrating my brother in law anniversary dinner'), ('Rated 4.0', 'RATED\n  Went to this place for dinner at around 10:30 pm. Very cozy and nice place. We took the outdoor seating. I have ordered for Salmon fillet and LIIT. The price of the dishes are on the higher side but the food was delicious.\n\nMy Verdict:\n\nFood: 4/5\nService : 4/5\nVFM: 3/5\nAmbiance: 4/5'), ('Rated 4.0', 'RATED\n  The outside seating is exciting in the evening with the smell of grill all around! Music was well played for a nice evening for grilled food and drinks. Portion size in a plate needs to be relooked and some of the service personnel needs to be more sensible while serving. Was good however missed that 5 star edge. Food was really tasty with wide range of sauces which fit the right protein selection!')]",4.23,"{'roberta_neg': 0.0019806328, 'roberta_neu': 0.014645912, 'roberta_pos': 0.9833734}",5.0,4.77
84,84,Waffle Walle,4.3,+91 8105902392,Bannerghatta Road,Kiosk,"[('Rated 4.0', 'RATED\n  They have many kinds of different waffles. Must visit here if you ever visit Meenakshi mall. You can even customize your waffles at will. However some improvement is needed for eggless waffles.'), ('Rated 5.0', 'RATED\n  Had a chance to have their amazing waffles, perfect blend of crispy and soft. The owners are very passionate about it which makes it a lot more amazing as they prepare fresh batter everyday and invest in quality.\nYou have to go here if you want to have authentic waffles. Plus they also offer cool internships to college kids ;)'), ('Rated 5.0', 'RATED\n  Have been there so many times in breezy Bangalore weather. The taste is great and service is nice. Plus point is that the service person remembers your favourite order if you have been there few times.'), ('Rated 3.0', 'RATED\n  Ordered waffle combo from here..one was waffle with chocolate sauce and the other was waffle with caramel sauce..?\n\nI am not a fan of waffles but I liked whatever I ordered from here..\n\nWaffles were crispy and hot..?'), ('Rated 4.0', 'RATED\n  ORDER REGULAR!!\nI would recommend a regular size if you are opting for a snack. Also, do opt for the Liege instead of Brussels if you have never tried the former.\nLoads of different toppings, mix-n-match and go crazy.\nIn my opinion Caramel + Cashew > Belgian Hot Chocolate + Whipped Cream + Chocochips.\nLoyalty Offer - Buy 10 Get 1 over a period of 3 months.')]",4.29,"{'roberta_neg': 0.0057032453, 'roberta_neu': 0.0638341, 'roberta_pos': 0.9304626}",5.0,4.77
1219,1219,Memories Of China - Taj Mg Road Bengaluru,4.3,"080 66604276
080 66604444",MG Road,Fine Dining,"[('Rated 4.0', 'RATED\n  Event : Went to Memories of China to celebrate my birthday. The staff was very courteous and provided a complementary cake at the end.\nAmbience: How a posh Chinese five star eatery would be. Cozy and plush. As expected from Taj.\nFood : Authentic indian Chinese food. Everything was pitch perfect wrt the lemongrek soup, the chill chicken the lobster in black pepper sauce and the noodles and rice.\nFew obeservations though.\nThought that the lobster would be presented in the way a big lobster would be , instead was small chunks of tiger prawn. It was a bit dissapointing. Also felt a lot of fennel seeds were given in the preparation which was not required.\n\nValue for money: Tricky as everything depends on the event , who u are with and the significance of the event, so for me it would be a 4/5.'), ('Rated 4.0', 'RATED\n  Excellent food and they serve hot pot! How amazing is that! Visited the restaurant on the recommendation of our account manager with the Taj. Truly lives up to its name. Having eaten at the Chinese restaurant at the Taj Coromandel in chennai, I was expecting the same level of deliciousness here and the chef did not disappoint. I tried the bbq pork steamed Chung fun, the silken tofu with greens (paired with a bit of kimchi this was a light and refreshing dish) and the pork belly. All excellent dishes with excellent service! They even made tiny portions of everything as I was dining alone.\nWould definitely come back for the hot pot when I have a bunch of friends with me!'), ('Rated 4.0', 'RATED\n  We had been to this place for an office get together. Very good service and ambience. Food taste is also good. It is also located at a very strategic place, MG Road and trinity circle.\n\nAmbience : 4/5\nFood : 4/5\nValue for money : 3.5/5')]",4.23,"{'roberta_neg': 0.005022287, 'roberta_neu': 0.05136059, 'roberta_pos': 0.9436171}",5.0,4.77
423,423,Alto Vino - Bengaluru Marriott Hotel Whitefield,4.3,080 49653131,Whitefield,Fine Dining,"[('Rated 4.0', ""RATED\n  Went for a buffet here. The variety was good. However, didn't like the food much. Desserts we're amazing. Ambience was aristocratic. Good experience overall.\n\nFood-3/5\nService-4/5\nAmbience-4/5""), ('Rated 5.0', 'RATED\n  Visited here for Thanksgiving, very innovative and tastey food .Visited here for Thanksgiving, very innovative and tastey food.Visited here for Thanksgiving, very innovative and tastey food')]",4.23,"{'roberta_neg': 0.011990533, 'roberta_neu': 0.07528916, 'roberta_pos': 0.9127203}",5.0,4.77
2855,2855,Thai Chy,4.3,080 45128670,Indiranagar,Casual Dining,"[('Rated 4.0', ''), ('Rated 1.0', ''), ('Rated 5.0', ''), ('Rated 2.0', ''), ('Rated 4.0', ''), ('Rated 4.0', 'RATED\n  Got an offer from the @cityshorbangalore team to visit Thai Chy. Lot of bloggers met and we ordered whole lot of things. Starting with the drinks followed by starters. Although the bloody Mary was not my taste but I liked the tropical and the berry blast one. After that we had prawns, chilly chicken bao, water chestnuts dimsums, shangai chicken dimsums. My favourite was the chicken bao. The bread had the perfect consistency of sweetness and moist to it. The filling was lip smacking. Followed by the desserts were some Pana Cotta, water chestnuts crystals with coconut milk. Overall an okay experience.'), ('Rated 4.0', '')]",4.23,"{'roberta_neg': 0.004467572, 'roberta_neu': 0.06306993, 'roberta_pos': 0.9324625}",5.0,4.77
